Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,Nc,Mc,Sc,year_restoration,time,Temp,Precip,Mixture (yes/no),Disturbance levels,Severe Disturbance,Burn (Y/N),Seeded (Y/N),Multiple application (Y/N),Biome,Location,Coordinates (Latitude),Coordinate (longitude),Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1)
X,165,1,González Polo,2015,40,4,N,33.5,10.5,4,36.7,15.3,6,7,9.4,56.5,Yes,medium,Y,Y,N,N,Shrubland,"Patagonia, Argentina",-40.57333,-70.8325,0.001584,11.56,0.74
UU,166,1,Kilian,2001,0.4,3,SD,212.07,22.17,3,37.8,19.5,0.093,1,8.6,116.5,No,low,N,N,Y,N,Temperate seasonal forest,"Lancaster University, England",54.0104,-2.7877,,,
X,5,1,Kowaljow,2010,40,4,SD ,126.08,83.92,4,85.29,20.92,2,3,9.4,56.5,Yes,medium,Y,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,0.208,8.44,0.62
X,5,2,Kowaljow,2010,40,4,SD ,125.29,72.94,4,85.29,20.92,2,3,9.4,56.5,Yes,medium,Y,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,0.216,11.56,0.74
X,5,3,Kowaljow,2010,40,4,SD ,139.9,44.3,4,74.76,19.54,3,4,9.4,56.5,Yes,medium,Y,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,0.208,8.44,0.62
X,5,4,Kowaljow,2010,40,4,SD ,134.04,41.69,4,74.76,19.54,3,4,9.4,56.5,Yes,medium,Y,Y,N,N,Shrubland,"Bariloche, Argentina",-40.57333,-70.8325,0.216,11.56,0.74
W,6,1,Madejón,2006,60,12,SD ,188.71,146.9,12,11.81,26.38,0.16,1,18,55.2,No,high,Y,N,N,Y,Shrubland,"El vicario, spain",37.43916,-6.21638,0.744,11.7,0.786
W,6,2,Madejón,2006,60,12,SD ,287.36,46.93,12,22.58,34.88,0.5,2,18,55.2,No,high,Y,N,N,Y,Shrubland,"El vicario, spain",37.43916,-6.21638,0.744,11.7,0.786
W,6,3,Madejón,2006,60,12,SD ,406.5,249.3,12,80.65,79.6,0.75,2,18,55.2,No,high,Y,N,N,Y,Shrubland,"El vicario, spain",37.43916,-6.21638,0.744,11.7,0.786
E,17,1,Martinez,2003,40,4,N,977,307.5,4,153,64,1,2,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.424,10.12,1.06
E,17,2,Martinez,2003,80,4,N,923,290.5,4,153,64,1,2,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.848,20.24,2.12
E,17,3,Martinez,2003,120,4,N,701,220.6,4,153,64,1,2,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,1.272,30.36,3.18
E,17,4,Martinez,2003,40,4,N,200,63,4,206,86.1,2,3,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.424,10.12,1.06
E,17,5,Martinez,2003,80,4,N,283,89.1,4,206,86.1,2,3,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.848,20.24,2.12
E,17,6,Martinez,2003,120,4,N,325,102.3,4,206,86.1,2,3,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,1.272,30.36,3.18
E,17,7,Martinez,2003,40,4,N,484,152.3,4,200,83.6,3,4,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.424,10.12,1.06
E,17,8,Martinez,2003,80,4,N,831,261.6,4,200,83.6,3,4,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.848,20.24,2.12
E,17,9,Martinez,2003,80,4,N,847,266.6,4,200,83.6,3,4,13.8,44.4,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.41889,-3.69194,0.848,20.24,2.12
KK,147,1,Mercuri,2005,60,1,N,112.1,35.3,2,14.7,6.1,2,3,17.1,67.2,No,high,Y,N,N,N,Shrubland,"Drayton Colliery, Australia",-32.25,150.88333,0.228,2.55,0.821
KK,147,2,Mercuri,2005,60,2,N,160.1,50.4,2,32.8,13.7,2,3,17.1,67.2,No,high,Y,N,N,N,Shrubland,"Drayton Colliery, Australia",-32.25,150.88333,0.228,2.55,0.821
V,7,1,Meyer,2004,5,4,SE,87.21,15.89,4,53.76,6.09,0.17,1,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.16,,0.28335
V,7,2,Meyer,2004,10,4,SE,134.7,75.76,4,53.76,6.09,0.17,1,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.32,,0.5667
V,7,3,Meyer,2004,20,4,SE,183.67,70.58,4,53.76,6.09,0.17,1,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.64,,1.1334
V,7,4,Meyer,2004,40,4,SE,161.31,26.98,4,53.76,6.09,0.17,1,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,1.28,,2.2668
V,7,5,Meyer,2004,80,4,SE,222.28,26.98,4,53.76,6.09,0.17,1,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,2.56,,4.5336
V,7,6,Meyer,2004,5,4,SE,79.27,25.87,4,51.91,4.77,1.17,2,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.16,,0.28335
V,7,7,Meyer,2004,10,4,SE,124.35,47.3,4,51.91,4.77,1.17,2,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.32,,0.5667
V,7,8,Meyer,2004,20,4,SE,130.27,30.67,4,51.91,4.77,1.17,2,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.64,,1.1334
V,7,9,Meyer,2004,40,4,SE,130.82,24.76,4,51.91,4.77,1.17,2,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,1.28,,2.2668
V,7,10,Meyer,2004,80,4,SE,177.01,111.6,4,51.91,4.77,1.17,2,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,2.56,,4.5336
V,7,11,Meyer,2004,5,4,SE,54.32,28.09,4,50.05,5.3,2.17,3,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.16,,0.28335
V,7,12,Meyer,2004,10,4,SE,63.75,7.02,4,50.05,5.3,2.17,3,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.32,,0.5667
V,7,13,Meyer,2004,20,4,SE,90.54,14.41,4,50.05,5.3,2.17,3,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.64,,1.1334
V,7,14,Meyer,2004,40,4,SE,91.28,14.04,4,50.05,5.3,2.17,3,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,1.28,,2.2668
V,7,15,Meyer,2004,80,4,SE,128.6,16.63,4,50.05,5.3,2.17,3,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,2.56,,4.5336
V,7,16,Meyer,2004,5,4,SE,56.36,15.15,4,56.41,6.89,3.17,4,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.16,,0.28335
V,7,17,Meyer,2004,10,4,SE,65.59,8.5,4,56.41,6.89,3.17,4,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.32,,0.5667
V,7,18,Meyer,2004,20,4,SE,80.93,3.33,4,56.41,6.89,3.17,4,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,0.64,,1.1334
V,7,19,Meyer,2004,40,4,SE,79.45,15.89,4,56.41,6.89,3.17,4,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,1.28,,2.2668
V,7,20,Meyer,2004,80,4,SE,107.17,8.13,4,56.41,6.89,3.17,4,5.3,45.2,Yes,medium,Y,Y,Y,N,Shrubland,"Denver, CO, USA",39.36788,-105.24069,2.56,,4.5336
U,8,1,Moreno-Peñaranda,2004,350,12,SD ,768.7,323.3,12,293.8,262.1,2.58,4,14.5,77.8,Yes,high,Y,N,Y,N,Shrubland,"Catalonia, Spain",42.03611,2.81722,,,
K,145,2,Mosquera-Losada,2019,1,4,SE,555.3,116.5,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0141,,0.0282
K,145,3,Mosquera-Losada,2019,1,4,SE,607.1,116.5,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0141,,0.0282
K,145,4,Mosquera-Losada,2019,2.5,4,SE,568.3,49.2,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.03525,,0.0705
K,145,5,Mosquera-Losada,2019,2.5,4,SE,543.7,108.7,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.03525,,0.0705
K,145,6,Mosquera-Losada,2019,5,4,SE,564.4,145,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0705,,0.141
K,145,7,Mosquera-Losada,2019,5,4,SE,585.1,62.1,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0705,,0.141
K,145,8,Mosquera-Losada,2019,10,4,SE,735.3,80.3,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.141,,0.282
K,145,9,Mosquera-Losada,2019,10,4,SE,687.4,178.6,4,242.46,90.62,1,2,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.141,,0.282
K,145,10,Mosquera-Losada,2019,1,4,SE,397.4,44,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0037,,0.0066
K,145,11,Mosquera-Losada,2019,1,4,SE,407.8,98.4,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0037,,0.0066
K,145,12,Mosquera-Losada,2019,2.5,4,SE,363.8,75.1,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.00925,,0.0165
K,145,13,Mosquera-Losada,2019,2.5,4,SE,401.3,82.8,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.00925,,0.0165
K,145,14,Mosquera-Losada,2019,5,4,SE,357.3,101,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0185,,0.033
K,145,15,Mosquera-Losada,2019,5,4,SE,331.4,57,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.0185,,0.033
K,145,16,Mosquera-Losada,2019,10,4,SE,313.3,82.8,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.037,,0.066
K,145,17,Mosquera-Losada,2019,10,4,SE,319.7,113.9,4,138.74,51.78,2,3,12.5,104.6,Yes,low,N,N,Y,N,Temperate seasonal forest,"Lugo, Galicia, Spain",43.011246,-7.56028,0.037,,0.066
F,81,1,Paschke,2005,56,3,N,124.19,39.1,3,125.1,52.3,24,25,3.5,35.5,No,high,Y,N,Y,N,Shrubland,"Riffle, Colorado, USA",50.32742553,-107.87778,,,3.36
F,81,2,Paschke,2005,56,3,N,184.42,58,3,116.97,48.9,24,25,3.5,35.5,No,high,Y,N,Y,N,Shrubland,"Riffle, Colorado, USA",50.32742553,-107.87778,,,3.36
F,81,3,Paschke,2005,112,3,N,123.85,39,3,125.1,52.3,24,25,3.5,35.5,Yes,high,Y,N,Y,N,Shrubland,"Riffle, Colorado, USA",50.32742553,-107.87778,,,6.72
F,81,4,Paschke,2005,112,3,N,173.77,54.7,3,116.97,48.9,24,25,3.5,35.5,Yes,high,Y,N,Y,N,Shrubland,"Riffle, Colorado, USA",50.32742553,-107.87778,,,6.72
F,81,5,Paschke,2005,224,3,N,177.24,55.8,3,125.1,52.3,24,25,3.5,35.5,Yes,high,Y,N,Y,N,Shrubland,"Riffle, Colorado, USA",50.32742553,-107.87778,,,13.44
F,81,6,Paschke,2005,224,3,N,141.42,44.5,3,116.97,48.9,24,25,3.5,35.5,Yes,high,Y,N,Y,N,Shrubland,"Riffle, Colorado, USA",50.32742553,-107.87778,,,13.44
B,27,1,Pierce,1998,5,4,N,72.92,23,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.001,,0.0014408
B,27,2,Pierce,1998,10,4,N,78.51,24.7,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.002,,0.0028816
B,27,3,Pierce,1998,15,4,N,72.31,22.8,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.003,,0.0043224
B,27,4,Pierce,1998,20,4,N,112.53,35.4,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.004,,0.0057632
B,27,5,Pierce,1998,25,4,N,128.4,40.4,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.005,,0.007204
B,27,6,Pierce,1998,30,4,N,146.24,46,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.006,,0.0086448
B,27,7,Pierce,1998,35,4,N,85.77,27,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.007,,0.0100856
B,27,8,Pierce,1998,40,4,N,116.16,36.6,4,40.86,17.1,2,3,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.008,,0.0115264
B,9,1,Sullivan,2006,2.5,4,N,197,62,4,163,68.1,12,13,7.8,37.4,No,low,N,N,N,Y,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.028375,,
B,9,2,Sullivan,2006,5,4,N,206,64.8,4,163,68.1,12,13,7.8,37.4,No,low,N,N,N,Y,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.05675,,
B,9,3,Sullivan,2006,10,4,N,241,75.9,4,163,68.1,12,13,7.8,37.4,No,low,N,N,N,Y,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.1135,,
B,9,4,Sullivan,2006,21,4,N,268,84.4,4,163,68.1,12,13,7.8,37.4,No,low,N,N,N,Y,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.23835,,
B,9,5,Sullivan,2006,30,4,N,245,77.1,4,163,68.1,12,13,7.8,37.4,No,low,N,N,N,Y,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.3405,,
B,9,6,Sullivan,2006,2.5,4,N,44.8,14.1,4,43.2,18.1,13,14,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.028375,,
B,9,7,Sullivan,2006,5,4,N,37,11.6,4,43.2,18.1,13,14,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.05675,,
B,9,8,Sullivan,2006,10,4,N,38.8,12.2,4,43.2,18.1,13,14,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.1135,,
B,9,9,Sullivan,2006,21,4,N,45,14.2,4,43.2,18.1,13,14,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.23835,,
B,9,10,Sullivan,2006,30,4,N,43.2,13.6,4,43.2,18.1,13,14,7.8,37.4,No,low,N,N,N,N,Shrubland,"Wolcott, Colorado, USA",40.89611,-104.87444,0.3405,,
O,109,1,Vasquez,2008,2.9,6,SE,69.3,72.5,6,9.5,12,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,2,Vasquez,2008,14.3,6,SE,63.1,44,6,9.5,72.5,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,3,Vasquez,2008,28.6,6,SE,42.3,43.6,6,9.5,44,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,4,Vasquez,2008,57.1,6,SE,53.8,57.7,6,9.5,43.6,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,5,Vasquez,2008,3.4,6,SE,47.7,65.2,6,9.5,57.7,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,6,Vasquez,2008,17.2,6,SE,39.8,61.8,6,9.5,65.2,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,7,Vasquez,2008,34.4,6,SE,55,48.8,6,9.5,61.8,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,8,Vasquez,2008,68.8,6,SE,74.9,64.6,6,9.5,48.8,2,3,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,9,Vasquez,2008,19.7,6,SE,44.6,19.2,6,9.5,64.6,2,3,10.1,27.8,Yes,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,10,Vasquez,2008,98.6,6,SE,20.7,22.7,6,9.5,19.2,2,3,10.1,27.8,Yes,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,11,Vasquez,2008,297.3,6,SE,14.9,15.1,6,9.5,22.7,2,3,10.1,27.8,Yes,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,12,Vasquez,2008,2.9,6,SE,69,95.5,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,13,Vasquez,2008,14.3,6,SE,63.1,109.5,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,14,Vasquez,2008,28.6,6,SE,42.3,59.1,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,15,Vasquez,2008,57.1,6,SE,53.8,73.5,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,16,Vasquez,2008,3.4,6,SE,47.7,50.8,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,17,Vasquez,2008,17.2,6,SE,39.5,35,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,18,Vasquez,2008,34.4,6,SE,55,87.6,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,19,Vasquez,2008,68.8,6,SE,74.6,118.1,6,9.5,12.4,3,4,10.1,27.8,No,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,20,Vasquez,2008,19.7,6,SE,44.6,90,6,9.5,12.4,3,4,10.1,27.8,Yes,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,21,Vasquez,2008,98.6,6,SE,20.5,26.8,6,9.5,12.4,3,4,10.1,27.8,Yes,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
O,109,22,Vasquez,2008,297.3,6,SE,14.9,20.6,6,9.5,12.4,3,4,10.1,27.8,Yes,low,N,N,N,N,Temperate grassland,"Grantsville, Utah, USA",40.45166,-112.745,,,
T,11,1,Wallace,2016,20,4,SE,28.2,27.8,4,20.7,17,8,9,4.1,40.7,No,low,N,N,N,N,Shrubland,"Ashcroft Ranch, BC, Canada",50.68777,-121.34083,,7,0.88
T,11,2,Wallace,2016,60,4,SE,31.6,24.2,4,20.7,17,8,9,4.1,40.7,No,low,N,N,N,N,Shrubland,"Ashcroft Ranch, BC, Canada",50.68777,-121.34083,,21,2.64
E,114,1,Walter,2000,40,4,N,268.38,84.5,4,107.69,45,1.08,2,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.424,,
E,114,2,Walter,2000,80,4,N,162.39,51.1,4,107.69,45,1.08,2,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.848,,
E,114,3,Walter,2000,120,4,N,99.15,31.2,4,107.69,45,1.08,2,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,1.272,,
E,114,4,Walter,2000,40,4,N,982.91,309.4,4,157.26,65.7,1.25,2,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.424,,
E,114,5,Walter,2000,80,4,N,928.21,292.2,4,157.26,65.7,1.25,2,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.848,,
E,114,6,Walter,2000,120,4,N,702.56,221.1,4,157.26,65.7,1.25,2,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,1.272,,
E,114,7,Walter,2000,40,4,N,605.13,190.5,4,201.71,84.3,1.58,3,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.424,,
E,114,8,Walter,2000,80,4,N,965.81,304,4,201.71,84.3,1.58,3,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.848,,
E,114,9,Walter,2000,120,4,N,552.14,173.8,4,201.71,84.3,1.58,3,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,1.272,,
E,116,1,Walter,2009,40,4,N,298.6,94,4,167.44,70,4,5,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.424,10.12,1.06
E,116,2,Walter,2009,80,4,N,413.02,130,4,167.44,70,4,5,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.848,20.24,2.12
E,116,3,Walter,2009,120,4,N,313.49,98.7,4,167.44,70,4,5,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,1.272,30.36,3.18
E,116,4,Walter,2009,40,4,N,218.6,68.8,4,162.79,68.1,5,6,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.424,10.12,1.06
E,116,5,Walter,2009,80,4,N,239.07,75.2,4,162.79,68.1,5,6,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,0.848,20.24,2.12
E,116,6,Walter,2009,120,4,N,236.28,74.4,4,162.79,68.1,5,6,14.3,42.8,No,low,N,N,N,N,Temperate grassland,"Madrid, Spain",40.20889,-3.56861,1.272,30.36,3.18
